BACK_VIEW_ MESH______ new_s1_back6	        -2000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-1000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		    0.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back6		 1000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back1		 2000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back1		 3000.0,  0.0, 2000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		-2000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-2000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-2000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		-1000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7	    	-1000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		-1000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		    0.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		    0.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		    0.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ stage1_back		 1000.0,  0.0,    0.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 1000.0,  0.0, 1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,
BACK_VIEW_ MESH______ new_s1_back7		 1000.0,  0.0,-1000.0,   0.0,   0.0,   0.0,   1.0,   1.0,



